epochs,notes,train_acc,train_loss,val_acc,val_loss
0,,0.58,5.9766,0.48,13.7820
1,,0.61,5.6683,0.10,39.3314
2,,0.67,5.3366,0.52,17.0200
3,,0.71,4.0367,0.33,16.9480
4,,0.73,3.3577,0.39,12.6115
5,,0.73,3.7454,0.31,16.2246
6,created new SGD optimizer with LR: 0.00100000000000000002,0.75,3.3886,0.66,3.7696
7,,0.79,2.2840,0.70,4.0382
8,,0.83,1.5152,0.70,2.7201
9,,0.85,1.1303,0.70,2.6484
10,,0.86,1.0597,0.71,2.4666
11,,0.86,0.9664,0.70,2.6304
12,,0.86,0.9410,0.76,2.0116
13,created new SGD optimizer with LR: 0.0001,0.87,0.8394,0.75,1.8574
14,,0.88,0.8057,0.73,1.8710
15,,0.87,0.7907,0.77,1.8235
16,,0.87,0.8334,0.77,1.8322
17,,0.87,0.7889,0.76,1.8574
18,,0.87,0.8287,0.76,1.8563
19,,0.87,0.8240,0.75,1.8359
20,created new SGD optimizer with LR: 0.00001,0.88,0.8079,0.77,1.7953
21,,0.87,0.7252,0.75,1.8249
22,,0.88,0.7202,0.76,1.8288
23,,0.88,0.7578,0.76,1.8266
24,,0.88,0.7803,0.76,1.8307
25,,0.87,0.7300,0.76,1.8322
26,,0.88,0.7035,0.76,1.8350
27,created new SGD optimizer with LR: 0.000001,0.87,0.8476,0.76,1.8349
28,,0.88,0.7091,0.76,1.8352
29,,0.88,0.8016,0.75,1.8349
30,,0.88,0.7278,0.76,1.8350
31,,0.87,0.8062,0.76,1.8352
32,,0.87,0.8258,0.75,1.8353
33,,0.88,0.7155,0.76,1.8357
34,created new SGD optimizer with LR: 0.0000001,0.87,0.7704,0.76,1.8352
35,,0.87,0.7713,0.76,1.8353
36,,0.86,0.8744,0.75,1.8353
37,,0.87,0.8419,0.76,1.8353
38,,0.88,0.7760,0.76,1.8353
39,,0.87,0.7351,0.76,1.8353
40,,0.86,0.8169,0.76,1.8353
41,created new SGD optimizer with LR: 0.00000001,0.87,0.7987,0.76,1.8353
42,,0.88,0.6936,0.76,1.8353
43,,0.87,0.7680,0.76,1.8353
44,,0.87,0.7128,0.76,1.8353
45,,0.88,0.7501,0.76,1.8353
46,,0.87,0.8147,0.76,1.8353
47,,0.87,0.7540,0.76,1.8353
48,created new SGD optimizer with LR: 0.000000001,0.87,0.8213,0.75,1.8353
49,,0.88,0.7061,0.75,1.8353
50,,0.89,0.7262,0.76,1.8353
51,,0.87,0.7467,0.76,1.8353
52,,0.88,0.7451,0.76,1.8353
53,,0.87,0.7760,0.76,1.8353
54,,0.89,0.7738,0.76,1.8353
55,created new SGD optimizer with LR: 0.0000000001,0.88,0.7632,0.76,1.8353
56,,0.87,0.7575,0.75,1.8353
57,,0.87,0.8122,0.76,1.8353
58,,0.88,0.7484,0.75,1.8353
59,,0.87,0.8127,0.76,1.8353
60,,0.88,0.7408,0.75,1.8353
61,,0.89,0.6790,0.76,1.8353
62,created new SGD optimizer with LR: 0.00000000001,0.88,0.7951,0.76,1.8353
63,,0.88,0.7993,0.76,1.8353
64,,0.88,0.7171,0.76,1.8353
65,,0.87,0.7212,0.76,1.8353
66,,0.86,0.8330,0.76,1.8353
67,,0.88,0.6683,0.76,1.8353
68,,0.88,0.6896,0.76,1.8353
69,created new SGD optimizer with LR: 0.000000000001,0.88,0.7538,0.76,1.8353
70,,0.88,0.7517,0.76,1.8353
71,,0.87,0.7502,0.76,1.8353
72,,0.88,0.7617,0.76,1.8353
73,,0.88,0.7419,0.76,1.8353
74,,0.87,0.7729,0.76,1.8353
75,,0.87,0.8130,0.76,1.8353
76,created new SGD optimizer with LR: 0.0000000000001,0.88,0.7300,0.76,1.8353
77,,0.87,0.7694,0.76,1.8353
78,,0.87,0.7432,0.76,1.8353
79,,0.88,0.8097,0.76,1.8353
80,,0.88,0.7312,0.76,1.8353
81,,0.87,0.7535,0.76,1.8353
82,,0.87,0.8019,0.76,1.8353
83,created new SGD optimizer with LR: 0.00000000000001,0.88,0.8389,0.75,1.8353
84,,0.87,0.8160,0.76,1.8353
85,,0.87,0.7467,0.76,1.8353
86,,0.88,0.7332,0.76,1.8353
87,,0.88,0.7446,0.76,1.8353
88,,0.88,0.7259,0.76,1.8353
89,,0.88,0.7445,0.76,1.8353
90,created new SGD optimizer with LR: 0.000000000000001,0.88,0.7384,0.76,1.8353
91,,0.87,0.7995,0.76,1.8353
92,,0.88,0.7500,0.76,1.8353
93,,0.88,0.7438,0.76,1.8353
94,,0.88,0.7622,0.76,1.8353
95,,0.89,0.7371,0.76,1.8353
96,,0.88,0.7578,0.76,1.8353
97,created new SGD optimizer with LR: 0.0000000000000001,0.88,0.7641,0.76,1.8353
98,,0.88,0.8031,0.76,1.8353
99,,0.88,0.7540,0.76,1.8353
